idx,status_label,ttf_label_days,ttf_label_bucket,summary,explanation,recommendations_json,raw_output
77810,FAILED,11.0,7-30,"Window index: 77810

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: frequent bursts across most of the patch across all 30 days of the window [NOVEL; raw_stats(min=2.76e+04, max=2.85e+04, mean=2.8e+04, last=2.85e+04, delta=840); raw_values=[27648.0, 27672.0, 27696.0, 27720.0, 27744.0, 27768.0, 27792.0, 27816.0, 27840.0, 27864.0, 27888.0, 27912.0, 27984.0, 28008.0, 28032.0, 28056.0, 28080.0, 28104.0, 28128.0, 28152.0, 28176.0, 28200.0, 28224.0, 28248.0, 28272.0, 28296.0, 28320.0, 28344.0, 28464.0, 28488.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The drive is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating ongoing data corruption and reallocation issues.","[""Replace the SSD immediately to prevent data loss."", ""Review and update the backup strategy for critical data stored on this drive.""]","{
  ""explanation"": ""The drive is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating ongoing data corruption and reallocation issues."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review and update the backup strategy for critical data stored on this drive.""
  ]
}"
77813,FAILED,8.0,7-30,"Window index: 77813

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: frequent bursts across most of the patch across all 30 days of the window [NOVEL; raw_stats(min=2.77e+04, max=2.86e+04, mean=2.81e+04, last=2.86e+04, delta=840); raw_values=[27720.0, 27744.0, 27768.0, 27792.0, 27816.0, 27840.0, 27864.0, 27888.0, 27912.0, 27984.0, 28008.0, 28032.0, 28056.0, 28080.0, 28104.0, 28128.0, 28152.0, 28176.0, 28200.0, 28224.0, 28248.0, 28272.0, 28296.0, 28320.0, 28344.0, 28464.0, 28488.0, 28512.0, 28536.0, 28560.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors.","[""Replace the SSD immediately to prevent data loss."", ""Review system logs for any recent heavy write operations that may have stressed the SSD.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review system logs for any recent heavy write operations that may have stressed the SSD.""
  ]
}"
77818,FAILED,3.0,<7,"Window index: 77818

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: frequent bursts across most of the patch across all 30 days of the window [NOVEL; raw_stats(min=2.78e+04, max=2.87e+04, mean=2.83e+04, last=2.87e+04, delta=840); raw_values=[27840.0, 27864.0, 27888.0, 27912.0, 27984.0, 28008.0, 28032.0, 28056.0, 28080.0, 28104.0, 28128.0, 28152.0, 28176.0, 28200.0, 28224.0, 28248.0, 28272.0, 28296.0, 28320.0, 28344.0, 28464.0, 28488.0, 28512.0, 28536.0, 28560.0, 28584.0, 28608.0, 28632.0, 28656.0, 28680.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating ongoing data corruption and reallocation issues.","[""Replace the SSD immediately to prevent data loss."", ""Review and update the backup strategy to ensure data integrity.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating ongoing data corruption and reallocation issues."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review and update the backup strategy to ensure data integrity.""
  ]
}"
77819,FAILED,2.0,<7,"Window index: 77819

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: frequent bursts across most of the patch across all 30 days of the window [NOVEL; raw_stats(min=2.79e+04, max=2.87e+04, mean=2.83e+04, last=2.87e+04, delta=840); raw_values=[27864.0, 27888.0, 27912.0, 27984.0, 28008.0, 28032.0, 28056.0, 28080.0, 28104.0, 28128.0, 28152.0, 28176.0, 28200.0, 28224.0, 28248.0, 28272.0, 28296.0, 28320.0, 28344.0, 28464.0, 28488.0, 28512.0, 28536.0, 28560.0, 28584.0, 28608.0, 28632.0, 28656.0, 28680.0, 28704.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors.","[""Replace the SSD immediately to prevent data loss."", ""Review and update backup strategies to ensure data integrity.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review and update backup strategies to ensure data integrity.""
  ]
}"
138147,FAILED,26.0,7-30,"Window index: 138147

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: frequent bursts across most of the patch across all 30 days of the window [NOVEL; raw_stats(min=2.73e+04, max=2.81e+04, mean=2.76e+04, last=2.81e+04, delta=840); raw_values=[27255.0, 27279.0, 27303.0, 27327.0, 27351.0, 27375.0, 27399.0, 27423.0, 27447.0, 27471.0, 27495.0, 27519.0, 27591.0, 27615.0, 27639.0, 27663.0, 27687.0, 27711.0, 27735.0, 27759.0, 27783.0, 27807.0, 27831.0, 27855.0, 27879.0, 27903.0, 27927.0, 27951.0, 28071.0, 28095.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors, which signify imminent hardware failure.","[""Replace the SSD immediately to prevent data loss."", ""Review system logs for any recent performance degradation or error messages related to the failing SSD.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors, which signify imminent hardware failure."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review system logs for any recent performance degradation or error messages related to the failing SSD.""
  ]
}"
138149,FAILED,24.0,7-30,"Window index: 138149

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: frequent bursts across most of the patch across all 30 days of the window [NOVEL; raw_stats(min=2.73e+04, max=2.81e+04, mean=2.77e+04, last=2.81e+04, delta=840); raw_values=[27303.0, 27327.0, 27351.0, 27375.0, 27399.0, 27423.0, 27447.0, 27471.0, 27495.0, 27519.0, 27591.0, 27615.0, 27639.0, 27663.0, 27687.0, 27711.0, 27735.0, 27759.0, 27783.0, 27807.0, 27831.0, 27855.0, 27879.0, 27903.0, 27927.0, 27951.0, 28071.0, 28095.0, 28119.0, 28143.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors over time.","[""Replace the SSD immediately to prevent data loss."", ""Analyze the SMART logs to identify any common causes among other drives.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors over time."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Analyze the SMART logs to identify any common causes among other drives.""
  ]
}"
138163,FAILED,10.0,7-30,"Window index: 138163

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: frequent bursts across most of the patch across all 30 days of the window [NOVEL; raw_stats(min=2.77e+04, max=2.85e+04, mean=2.81e+04, last=2.85e+04, delta=793); raw_values=[27687.0, 27711.0, 27735.0, 27759.0, 27783.0, 27807.0, 27831.0, 27855.0, 27879.0, 27903.0, 27927.0, 27951.0, 28071.0, 28095.0, 28119.0, 28143.0, 28167.0, 28191.0, 28215.0, 28239.0, 28263.0, 28287.0, 28311.0, 28335.0, 28359.0, 28381.0, 28405.0, 28432.0, 28456.0, 28480.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors, which signify physical degradation of the storage media.","[""Replace the SSD immediately to prevent data loss."", ""Review the logs for any recent heavy write operations that may have contributed to the failure.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors, which signify physical degradation of the storage media."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review the logs for any recent heavy write operations that may have contributed to the failure.""
  ]
}"
172179,FAILED,29.0,7-30,"Window index: 172179

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: days 0-5: frequent bursts across most of the patch; days 5-10: frequent bursts across most of the patch; days 10-15: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.72e+04, max=2.73e+04, mean=2.73e+04, last=2.73e+04, delta=94); raw_values=[27232.0, 27256.0, 27280.0, 27304.0, 27326.0]]; days 15-20: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.74e+04, max=2.74e+04, mean=2.74e+04, last=2.74e+04, delta=96); raw_values=[27350.0, 27374.0, 27398.0, 27422.0, 27446.0]]; days 20-25: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.75e+04, max=2.77e+04, mean=2.75e+04, last=2.77e+04, delta=192); raw_values=[27470.0, 27494.0, 27518.0, 27542.0, 27662.0]]; days 25-30: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.77e+04, max=2.78e+04, mean=2.77e+04, last=2.78e+04, delta=96); raw_values=[27686.0, 27710.0, 27734.0, 27758.0, 27782.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in reallocated sector count (r_5) and reported uncorrectable errors (r_187), indicating increasing numbers of bad sectors and uncorrectable read/write errors. Additionally, other attributes like current pending sector count (r_197) also show frequent bursts, suggesting ongoing issues with unrecoverable data.","[""Replace the SSD immediately to prevent data loss."", ""Review and possibly replace other SSDs in the same batch or from the same manufacturer.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in reallocated sector count (r_5) and reported uncorrectable errors (r_187), indicating increasing numbers of bad sectors and uncorrectable read/write errors. Additionally, other attributes like current pending sector count (r_197) also show frequent bursts, suggesting ongoing issues with unrecoverable data."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review and possibly replace other SSDs in the same batch or from the same manufacturer.""
  ]
}"
172184,FAILED,24.0,7-30,"Window index: 172184

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: days 0-5: frequent bursts across most of the patch; days 5-10: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.72e+04, max=2.73e+04, mean=2.73e+04, last=2.73e+04, delta=94); raw_values=[27232.0, 27256.0, 27280.0, 27304.0, 27326.0]]; days 10-15: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.74e+04, max=2.74e+04, mean=2.74e+04, last=2.74e+04, delta=96); raw_values=[27350.0, 27374.0, 27398.0, 27422.0, 27446.0]]; days 15-20: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.75e+04, max=2.77e+04, mean=2.75e+04, last=2.77e+04, delta=192); raw_values=[27470.0, 27494.0, 27518.0, 27542.0, 27662.0]]; days 20-25: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.77e+04, max=2.78e+04, mean=2.77e+04, last=2.78e+04, delta=96); raw_values=[27686.0, 27710.0, 27734.0, 27758.0, 27782.0]]; days 25-30: frequent bursts across most of the patch [NOVEL; raw_stats(min=2.78e+04, max=2.79e+04, mean=2.79e+04, last=2.79e+04, delta=96); raw_values=[27806.0, 27830.0, 27854.0, 27878.0, 27902.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating ongoing data corruption and reallocation issues.","[""Replace the SSD immediately to prevent data loss."", ""Review system logs for any recent changes or workloads that may have stressed the SSD.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating ongoing data corruption and reallocation issues."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review system logs for any recent changes or workloads that may have stressed the SSD.""
  ]
}"
172190,FAILED,18.0,7-30,"Window index: 172190

Attribute-level patterns (per SMART attribute):
- r_5: frequent bursts across most of the patch across all 30 days of the window
- r_9: frequent bursts across most of the patch across all 30 days of the window [NOVEL; raw_stats(min=2.73e+04, max=2.8e+04, mean=2.77e+04, last=2.8e+04, delta=791); raw_values=[27256.0, 27280.0, 27304.0, 27326.0, 27350.0, 27374.0, 27398.0, 27422.0, 27446.0, 27470.0, 27494.0, 27518.0, 27542.0, 27662.0, 27686.0, 27710.0, 27734.0, 27758.0, 27782.0, 27806.0, 27830.0, 27854.0, 27878.0, 27902.0, 27926.0, 27950.0, 27973.0, 27997.0, 28023.0, 28047.0]]
- r_12: frequent bursts across most of the patch across all 30 days of the window
- r_177: frequent bursts across most of the patch across all 30 days of the window
- r_180: frequent bursts across most of the patch across all 30 days of the window
- r_181: frequent bursts across most of the patch across all 30 days of the window
- r_182: frequent bursts across most of the patch across all 30 days of the window
- r_183: frequent bursts across most of the patch across all 30 days of the window
- r_184: frequent bursts across most of the patch across all 30 days of the window
- r_187: frequent bursts across most of the patch across all 30 days of the window
- r_195: frequent bursts across most of the patch across all 30 days of the window
- r_197: frequent bursts across most of the patch across all 30 days of the window
- r_199: frequent bursts across most of the patch across all 30 days of the window
- r_241: frequent bursts across most of the patch across all 30 days of the window
- r_242: frequent bursts across most of the patch across all 30 days of the window

Cross-attribute patterns over the whole feature set:
- a mix of stable, trending, and spiky attributes across all 30 days of the window","The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors.","[""Replace the SSD immediately to prevent data loss."", ""Review system logs for any recent changes or heavy usage that may have contributed to the failure.""]","{
  ""explanation"": ""The SSD is failing due to frequent bursts in multiple SMART attributes such as r_5 (reallocated sector count), r_187 (reported uncorrectable errors), and r_197 (current pending sector count), indicating increasing numbers of reallocated sectors and uncorrectable errors."",
  ""recommendations"": [
    ""Replace the SSD immediately to prevent data loss."",
    ""Review system logs for any recent changes or heavy usage that may have contributed to the failure.""
  ]
}"
